SentInvoiceID	Business	Description	BusinessLocation	JobID	JobDate	 QuoteAmount 	PaidDate	 PaidAmt 	CheckNum	TIPS	 OUTSOURCED 	NOTES
2019	Quarry Lane	1st grade	study trip	1518	2/21/2012	 $695.00 		 $-   				
2022	Quarry Lane	kindergarden	study trip	1523	2/23/2012	 $695.00 		 $-   				
2052	Quarry Lane	kindergarden	study trip	1523	2/23/2012	 $695.00 		 $-   				
2107	Quarry Lane	3rd grade	.	1530	3/21/2012	" $1,100.00 "		 $-   				
2108	Quarry Lane	3rd grade	.	1574	3/22/2012	 $450.00 		 $-   				
2057	Quarry Lane	2nd grade	study trip	1506	3/23/2012	 $725.00 		 $-   				
2053	Quarry Lane	kindergarden	study trip	1524	4/24/2012	" $1,812.50 "		 $-   				
2021	Quarry Lane	1st grade	study trip	1513	5/14/2012	" $1,070.00 "		 $-   				
2054	Quarry Lane	kindergarden	study trip	1525	5/23/2012	" $1,350.00 "						
2109	Quarry Lane	3rd grade	.	1531	5/29/2012	 $975.00 		 $-   				
2110	Quarry Lane	3rd grade	.	1532	5/30/2012	 $975.00 		 $-   				
2044	Quarry Lane	4th grade	study trip	1567	5/31/2012	 $685.00 		 $-   				
2058	Quarry Lane	2nd grade	study trip	1508	5/31/2012	" $1,006.00 "		 $-   				
2045	Quarry Lane	4th grade	study trip	1494	6/5/2012	" $1,085.00 "		 $-   				
2059	Quarry Lane	2nd grade	study trip	1526	6/5/2012	 $912.50 		 $-   				
2065	Quarry Lane	5th grade	study trip	1371	6/6/2012	 $-   		 $-   				
2112	Quarry Lane	3rd grade	.	1533	6/11/2012	 $595.00 		 $-   				
2113	Quarry Lane	3rd grade	.	1534	6/12/2012	 $595.00 		 $-   				
1438	cancelled	.	.		.	 $-   		 $-   				
2111	Quarry Lane	3rd grade	.	1535	6/0/12	 $725.00 		 $-   				
1032	CANCELLED	x				 $-   		 $-   				
1208	CANCELLED	x	x			 $-   		 $-   				
1264	x	x	x									
1266	x	x	x			 $-   		 $-   				
1272	x	x	x									
1363	UCSF	653	inv1607					 $-   	0			
1364	UCSF	654	inv1626					 $-   	0			
1374	x	x	x									
1375	x	x	x									
1376	x	x	x									
1377	x	x	x									
1378	x	x	x									
1386	x	x	x									
1410	San Francisco USD	Buena Vista Elem	study trip			 $-   		 $-   	0			cancelled
1432	.	see 1379	.			 . 		 $-   				
1459	cancelled	.	.			 $-   		 $-   				
1460	cancelled	.	.			 $-   		 $-   				
1472	cancelled	.	see 1387			 $-   		 $-   				
1473	cancelled	.	see 1369			 $-   		 $-   				
1474	cancelled	.	see 1388			 $-   		 $-   				
1475	cancelled	.	see 1389			 $-   		 $-   				
1476	cancelled	.	see 1390			 $-   		 $-   				
1477	cancelled	.	see 1391			 $-   		 $-   				
1478	cancelled	.	see 1407			 $-   		 $-   				
1479	cancelled	.	see 1411			 $-   		 $-   				
1480	cancelled	.	see 1412			 $-   		 $-   				
1481	cancelled	.	see 1394			 $-   		 $-   				
1482	cancelled	.	see 1419			 $-   		 $-   				
1487	cancelled	.	.			 $-   		 $-   				
1490	cancelled	.	see 1365			 $-   		 $-   				
1492	cancelled	.	.			 $-   		 $-   				
1510	cancelled	.	see 1418			 $-   		 $-   				
1511	cancelled	.	see 1419			 $-   		 $-   				
1512	cancelled	.	see 1424			 $-   		 $-   				
1513	cancelled	.	see 1434			 $-   		 $-   				
1514	cancelled	.	see 1421			 $-   		 $-   				
1515	cancelled	.	see 1405			 $-   		 $-   				
1532	VOID	.	.			 $-   		 $-   				1447 duplicate
1634	cancelled	.	see 1462			 $-   		 $-   				
1768	.	.	.									
1774	x	x	x									
1818	Eriton Transportation	.	.					 $225.00 	1243			
1836	.	.	.									
1875	.	.	.									
1876	.	.	.									
1881	.	.	.									
1895	.	.	.									
2012	.	.	.									
2020	.	.	.									
2061	Quarry Lane	duplicate	study trip	1368		 $-   		 $-   				
2177	.	.	.									
2210	.	.	.									
2238	VOID/Duplicate	.	.									
2241	.	.	.									
2242	.	.	.									
2243	.	.	.									
2244	.	.	.									
2245	.	.	.									
2246	.	.	.									
2247	.	.	.									
2249	.	.	.									
2251	VOID/Duplicate	.	.									
2253	.	.	.									
