InvoiceID	JobID	InvoiceDate	 InvoiceAmt 	CheckDate	 PaidAmt 	CheckNum	 Notes 	
2407	2955	3/1/2012	 418.75 	5/12/2012	 418.75 	451676		
2408	2587	3/2/2012	 1,000.00 	5/2/2012	 1,000.00 	649554		
2409	2667	3/1/2012	 610.00 	3/14/2012	 610.00 	1117		
2410	2726	3/2/2012	 610.00 	3/14/2012	 610.00 	1117		
2411	2850	3/3/2012	 425.00 	2/29/2012	 425.00 	4314		
2412	2858	3/3/2012	 1,000.00 	5/2/2012	 1,000.00 	649554		
2413	2668	3/3/2012	 585.75 	3/14/2012	 585.75 	1117		
2414	2941	3/3/2012	 1,300.00 	4/25/2012	 1,300.00 	450691		
2415	2959	3/2/2012	 493.75 	5/16/2012	 493.75 	451676		
2416	2730	3/15/2012	 600.00 	3/15/2012	 600.00 	24446		
2417	2972	3/6/2012	    		    			
2418	2929	3/8/2012	    		    			
2419	2960	3/5/2012	 406.00 	5/16/2012	 406.00 	451676		
2420	2961	3/6/2012	 400.00 	5/16/2012	 400.00 	451676		
2421	2859	3/8/2012	 750.00 	4/18/2012	 750.00 	450466		
2422	2962	3/8/2012	 497.50 	5/16/2012	 497.50 	451676		
