"Trip mode","Start time | End time","Departure | Arrival",Odometer,Distance,Driver,Vehicle,Purpose,Contact," "
Business,"04/28/23, 09:01 AM | 04/28/23, 09:52 AM","Departure: Marshall (Thurgood) High, 35 Conkling St, San Francisco CA 94124, US | Arrival: Marinship Way, Sausalito CA 94965, US","138,126.9 mi | 138,141.0 mi","14.2 mi",—,"4001  – 4001",—,—," "
Business,"04/28/23, 09:17 AM | 04/28/23, 09:51 AM","Departure: 1654 Mission St, San Francisco CA 94103, US | Arrival: Marinship Way, Sausalito CA 94965, US","11,622.2 mi | 11,632.4 mi","10.2 mi",—,"2503  – 2503",—,—," "
Business,"04/28/23, 08:34 AM | 04/28/23, 09:42 AM","Departure: Adda Clevenger School, 188 Fair Oaks St, San Francisco CA 94110, US | Arrival: Glassburn St, Sausalito CA 94965, US","135,673.0 mi | 135,687.3 mi","14.3 mi",—,"3501  – 3501",—,—," "
Business,"04/28/23, 07:29 AM | 04/28/23, 09:20 AM","Departure: 2164 Bancroft Ave, San Leandro CA 94577, US | Arrival: Club Dr, Vallejo CA 94592, US","12,966.9 mi | 13,024.6 mi","57.7 mi",—,"4403 – 4403",—,—," "
Business,"04/28/23, 08:22 AM | 04/28/23, 09:17 AM","Departure: 22149 Arbor Ave, Hayward CA 94541, US | Arrival: 4th St, San Francisco CA 94158, US","122,432.9 mi | 122,458.0 mi","25.1 mi",—,"4402  – 4402",—,—," "
Business,"04/28/23, 08:03 AM | 04/28/23, 09:16 AM","Departure: 5101 Barrett Ave, Richmond CA 94805, US | Arrival: Ulloa Elementary, 3002 Vicente St, San Francisco CA 94116, US","8,066.8 mi | 8,094.3 mi","27.5 mi",—,"3602 – 3602",—,—," "
Business,"04/28/23, 07:31 AM | 04/28/23, 08:41 AM","Departure: Utah Ave, South San Francisco CA 94080, US | Arrival: Marshall (Thurgood) High, 45 Conkling St, San Francisco CA 94124, US","11,609.0 mi | 11,618.3 mi","9.3 mi",—,"2503  – 2503",—,—," "
Business,"04/28/23, 07:59 AM | 04/28/23, 08:40 AM","Departure: Utah Ave, South San Francisco CA 94080, US | Arrival: Marshall (Thurgood) High, 34 Conkling St, San Francisco CA 94124, US","138,117.5 mi | 138,126.9 mi","9.3 mi",—,"4001  – 4001",—,—," "
Business,"04/28/23, 07:54 AM | 04/28/23, 08:30 AM","Departure: DHarris Tours – HQ, 2209 Vista del Rio St, Crockett CA 94525, US | Arrival: 81 8th St, Richmond CA 94801, US","288,214.7 mi | 288,227.6 mi","12.9 mi",—,"2302  – 2302",—,—," "
Business,"04/28/23, 07:09 AM | 04/28/23, 08:20 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: Adda Clevenger School, 190 Fair Oaks St, San Francisco CA 94110, US","135,644.0 mi | 135,673.0 mi","28.9 mi",—,"3501  – 3501",—,—," "
Business,"04/28/23, 07:00 AM | 04/28/23, 07:01 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: DHarris Tours – HQ, 2221 Vista del Rio St, Crockett CA 94525, US","77,643.8 mi | 77,643.9 mi","136 yd",—,"2802  – 2802",—,—," "
Business,"04/28/23, 05:50 AM | 04/28/23, 06:46 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 2164 Bancroft Ave, San Leandro CA 94577, US","12,934.9 mi | 12,966.9 mi","32.1 mi",—,"4403 – 4403",—,—," "
Business,"04/27/23, 09:52 PM | 04/27/23, 10:58 PM","Departure: 3166 Roundhill Rd, Alamo CA 94507, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","47,541.7 mi | 47,584.5 mi","42.8 mi",—,"3601  – 3601",—,—," "
Business,"04/27/23, 07:47 PM | 04/27/23, 08:39 PM","Departure: East Ave, Hayward CA 94541, US | Arrival: 492 Key Blvd, Richmond CA 94805, US","8,037.8 mi | 8,066.8 mi","29.0 mi",—,"3602 – 3602",—,—," "
Business,"04/27/23, 08:15 PM | 04/27/23, 08:37 PM","Departure: Sunvalley Blvd, Concord CA 94520, US | Arrival: 3162 Roundhill Rd, Alamo CA 94507, US","47,530.8 mi | 47,541.7 mi","10.9 mi",—,"3601  – 3601",—,—," "
Business,"04/27/23, 07:17 PM | 04/27/23, 08:14 PM","Departure: 8571 San Leandro St, Oakland CA 94621, US | Arrival: 22145 Arbor Ave, Hayward CA 94541, US","122,423.9 mi | 122,432.9 mi","9.0 mi",—,"4402  – 4402",—,—," "
Business,"04/27/23, 05:10 PM | 04/27/23, 07:01 PM","Departure: 22141 Arbor Ave, Hayward CA 94541, US | Arrival: 8585 San Leandro St, Oakland CA 94621, US","122,405.3 mi | 122,423.9 mi","18.6 mi",—,"4402  – 4402",—,—," "
